Customer ID,First Name,Last Name,Age,Gender,Address,City,Contact Number,Email,Account Type,   Account Balance   ,Date Of Account Opening,Last Transaction Date,TransactionID,Transaction Date,Transaction Type,  Transaction Amount  ,  Account Balance After Transaction  ,Branch ID,Loan ID,  Loan Amount  ,Loan Type,Interest Rate,Loan Term,Approval/Rejection Date,Loan Status,CardID,Card Type,  Credit Limit  ,  Credit Card Balance  ,  Minimum Payment Due  ,Payment Due Date,Last Credit Card Payment Date,Rewards Points,Feedback ID,Feedback Date,Feedback Type,Resolution Status,Resolution Date,Anomaly
11,William,Perez,28,Male,Address_11,San Diego,19458794864,william.perez@kag.com,Savings," 5,930.75 ",8/12/2015,10/18/2023,11,6/8/2023,Withdrawal,"1,309.13","7,239.88",72,11,"22,592.01",Personal,828.00%,60,11/20/2022,Rejected,11,Visa,"4,782.39","4,564.25",228.21,6/7/2023,3/3/2023,4624,11,5/1/2023,Complaint,Pending,9/19/2023,1
12,Nancy,Allen,37,Female,Address_12,Oklahoma City,19458794865,nancy.allen@kag.com,Current," 8,126.85 ",9/13/2005,10/16/2023,12,4/4/2023,Deposit,"4,865.91","12,992.76",25,12,"9,182.10",Auto,573.00%,48,7/29/2020,Approved,12,AMEX,"5,697.31","4,935.07",246.75,11/17/2023,12/28/2023,3488,12,8/24/2023,Complaint,Pending,5/3/2023,1
13,Margaret,Robinson,63,Female,Address_13,Columbus,19458794866,margaret.robinson@kag.com,Savings," 5,402.04 ",11/13/2010,11/21/2023,13,12/2/2023,Deposit,"3,070.58","8,472.62",94,13,"45,385.59",Auto,696.00%,36,9/20/2021,Approved,13,Visa,"5,776.68",339.59,16.98,7/17/2023,1/13/2023,2102,13,2/22/2023,Praise,Resolved,1/13/2023,1
14,Michelle,Taylor,48,Female,Address_14,Colorado Springs,19458794867,michelle.taylor@kag.com,Savings," 4,045.09 ",8/14/2014,12/29/2023,14,10/27/2023,Transfer,381.21,"4,426.30",30,14,"32,735.99",Auto,771.00%,48,12/21/2022,Approved,14,Visa,"3,018.46","4,357.95",217.9,5/28/2023,9/29/2023,4833,14,11/16/2023,Praise,Resolved,5/5/2023,1
15,Nancy,Nelson,51,Other,Address_15,Atlanta,19458794868,nancy.nelson@kag.com,Savings," 2,082.67 ",9/16/2015,6/24/2023,15,6/13/2023,Withdrawal,"2,631.77",-549.1,77,15,"9,833.19",Mortgage,370.00%,36,12/6/2022,Closed,15,AMEX,"2,345.93","1,066.61",53.33,12/28/2023,5/23/2023,4769,15,10/26/2023,Suggestion,Pending,9/23/2023,1
16,Michael,Young,29,Male,Address_16,Fresno,19458794869,michael.young@kag.com,Savings," 8,578.44 ",10/2/2016,12/20/2023,16,10/23/2023,Transfer,"4,486.73","13,065.17",31,16,"28,429.81",Mortgage,368.00%,24,12/11/2021,Approved,16,Visa,"2,673.10",770.74,38.54,2/2/2023,1/3/2023,7000,16,11/25/2023,Complaint,Pending,5/23/2023,1
17,Lisa,Adams,65,Female,Address_17,Austin,19458794870,lisa.adams@kag.com,Current, 728.80 ,7/7/2006,12/18/2023,17,11/15/2023,Transfer,"2,086.75","2,815.55",96,17,"17,080.03",Auto,338.00%,36,12/15/2022,Rejected,17,AMEX,"2,838.82","3,905.10",195.26,4/20/2023,10/19/2023,2437,17,5/31/2023,Suggestion,Pending,5/1/2023,1
18,Mary,Wilson,45,Female,Address_18,Omaha,19458794871,mary.wilson@kag.com,Savings," 9,012.31 ",8/12/2019,3/30/2023,18,9/12/2023,Deposit,"3,333.99","5,678.32",36,18,"8,211.92",Auto,251.00%,12,2/23/2022,Closed,18,MasterCard,"8,388.99","3,165.21",158.26,8/10/2023,11/12/2023,5109,18,2/23/2023,Praise,Resolved,6/3/2023,1
19,Nancy,Martinez,20,Other,Address_19,Tucson,19458794872,nancy.martinez@kag.com,Current," 2,129.63 ",8/18/2005,2/28/2023,19,11/15/2023,Withdrawal,"3,868.23","-1,738.60",41,19,"9,911.60",Personal,374.00%,12,6/5/2022,Rejected,19,AMEX,"9,371.27",299.03,14.95,5/12/2023,9/10/2023,8681,19,7/19/2023,Praise,Resolved,3/7/2023,1
20,Amanda,Campbell,65,Other,Address_20,Milwaukee,19458794873,amanda.campbell@kag.com,Savings, 194.36 ,4/24/2017,3/2/2023,20,9/30/2023,Deposit,933.29,-738.93,61,20,"28,403.60",Mortgage,958.00%,48,1/27/2021,Closed,20,MasterCard,"7,650.68","1,076.46",53.82,5/24/2023,1/21/2023,3441,20,4/22/2023,Praise,Pending,10/4/2023,1
21,Ashley,Scott,59,Other,Address_21,Fresno,19458794874,ashley.scott@kag.com,Savings," 1,128.58 ",10/29/2016,8/30/2023,21,2/7/2023,Withdrawal,"4,278.95","-3,150.37",29,21,"28,654.88",Personal,177.00%,12,7/26/2020,Closed,21,MasterCard,"1,374.25","3,559.98",178,1/31/2023,8/31/2023,1213,21,11/20/2023,Complaint,Pending,9/7/2023,1
22,Donna,King,69,Female,Address_22,San Antonio,19458794875,donna.king@kag.com,Current," 8,846.74 ",1/1/2005,10/10/2023,22,7/1/2023,Transfer,"2,249.62","11,096.36",34,22,"39,707.10",Personal,317.00%,48,10/28/2021,Rejected,22,MasterCard,"6,394.78",53.5,2.68,9/23/2023,12/5/2023,4035,22,8/7/2023,Complaint,Pending,12/10/2023,-1
23,Mary,Rodriguez,22,Other,Address_23,El Paso,19458794876,mary.rodriguez@kag.com,Savings, 829.70 ,9/2/2011,8/13/2023,23,7/6/2023,Deposit,292.88,536.82,19,23,"13,151.23",Mortgage,386.00%,60,2/20/2022,Closed,23,Visa,"8,026.74","1,424.94",71.25,11/17/2023,3/17/2023,1533,23,2/20/2023,Complaint,Resolved,10/4/2023,1
24,Charles,Adams,30,Female,Address_24,San Antonio,19458794877,charles.adams@kag.com,Savings," 3,616.88 ",10/7/2014,8/10/2023,24,1/25/2023,Deposit,"4,395.73","8,012.61",90,24,"45,875.84",Personal,238.00%,60,3/7/2022,Rejected,24,AMEX,"5,693.70","2,256.35",112.82,5/7/2023,6/3/2023,6245,24,10/4/2023,Suggestion,Resolved,12/10/2023,1
25,Steven,Ramirez,29,Male,Address_25,Boston,19458794878,steven.ramirez@kag.com,Savings," 2,578.13 ",6/4/2004,3/31/2023,25,11/29/2023,Transfer,"2,826.12","5,404.25",5,25,"26,412.03",Mortgage,170.00%,48,5/18/2020,Rejected,25,AMEX,"1,720.05","4,563.01",228.15,5/29/2023,11/18/2023,6588,25,1/22/2023,Praise,Resolved,3/1/2023,1
26,Barbara,Hernandez,18,Female,Address_26,Chicago,19458794879,barbara.hernandez@kag.com,Current, 464.86 ,10/1/2022,1/15/2023,26,5/22/2023,Transfer,999.63,"1,464.49",20,26,"11,004.46",Personal,246.00%,48,11/3/2022,Approved,26,Visa,"5,608.25","4,251.87",212.59,6/5/2023,11/8/2023,5749,26,2/17/2023,Complaint,Pending,4/14/2023,1
27,Lisa,Wilson,69,Male,Address_27,Kansas City,19458794880,lisa.wilson@kag.com,Savings," 5,361.52 ",7/27/2006,12/31/2023,27,5/4/2023,Withdrawal,"1,594.08","3,767.44",78,27,"21,250.75",Personal,575.00%,48,4/19/2021,Approved,27,AMEX,"6,736.21","1,084.56",54.23,1/21/2023,7/4/2023,1470,27,12/15/2023,Suggestion,Pending,8/20/2023,1
28,Amanda,Hill,60,Female,Address_28,Oklahoma City,19458794881,amanda.hill@kag.com,Savings," 9,983.50 ",8/10/2018,7/4/2023,28,1/25/2023,Deposit,"2,851.17","12,834.67",29,28,"46,244.60",Mortgage,637.00%,36,10/23/2022,Approved,28,AMEX,"6,126.15","1,530.42",76.52,11/16/2023,7/31/2023,2965,28,12/21/2023,Complaint,Pending,2/23/2023,1
29,Matthew,Campbell,36,Male,Address_29,Fresno,19458794882,matthew.campbell@kag.com,Savings," 8,544.77 ",11/12/2000,7/23/2023,29,10/18/2023,Transfer,"1,877.13","6,667.64",3,29,"24,429.67",Auto,294.00%,12,2/20/2022,Rejected,29,AMEX,"7,494.66","2,591.92",129.6,9/20/2023,6/6/2023,2963,29,1/23/2023,Suggestion,Pending,6/10/2023,1
30,Ronald,Jackson,46,Female,Address_30,Baltimore,19458794883,ronald.jackson@kag.com,Current," 1,772.04 ",2/12/2015,2/10/2023,30,12/1/2023,Withdrawal,"1,174.58",597.46,84,30,"43,861.04",Auto,553.00%,36,2/23/2022,Closed,30,Visa,"3,404.77","2,181.10",109.06,2/18/2023,12/14/2023,8656,30,1/6/2023,Suggestion,Resolved,9/12/2023,1
31,Anthony,Anderson,64,Female,Address_31,San Francisco,19458794884,anthony.anderson@kag.com,Current," 8,854.73 ",9/15/2004,6/20/2023,31,6/24/2023,Withdrawal,"2,401.76","11,256.49",25,31,"8,831.80",Auto,106.00%,36,12/21/2021,Approved,31,AMEX,"7,278.03","3,846.45",192.32,5/27/2023,6/11/2023,3298,31,5/12/2023,Praise,Pending,6/5/2023,1
32,Carol,Ramirez,67,Female,Address_32,Jacksonville,19458794885,carol.ramirez@kag.com,Current," 4,572.76 ",5/4/2010,9/25/2023,32,8/20/2023,Transfer,933.38,"5,506.14",69,32,"45,783.96",Auto,642.00%,36,5/15/2022,Closed,32,Visa,"3,997.31","4,756.24",237.81,1/3/2023,2/27/2023,6208,32,8/16/2023,Praise,Resolved,8/25/2023,1
33,Betty,White,65,Female,Address_33,Sacramento,19458794886,betty.white@kag.com,Current," 2,805.18 ",7/30/2003,7/15/2023,33,5/25/2023,Deposit,"1,234.44","1,570.74",55,33,"22,100.32",Mortgage,101.00%,60,8/21/2021,Closed,33,MasterCard,"7,417.07","3,107.77",155.39,3/27/2023,10/22/2023,2387,33,5/9/2023,Complaint,Resolved,7/25/2023,1
34,Jessica,Davis,56,Other,Address_34,Oklahoma City,19458794887,jessica.davis@kag.com,Savings," 6,439.03 ",8/23/2005,9/7/2023,34,12/11/2023,Transfer,"4,135.40","10,574.43",56,34,"46,870.22",Personal,678.00%,60,9/2/2020,Rejected,34,Visa,"5,395.87",560.7,28.04,9/23/2023,5/11/2023,4561,34,7/22/2023,Complaint,Resolved,2/11/2023,1
35,Joseph,Nelson,59,Female,Address_35,Seattle,19458794888,joseph.nelson@kag.com,Current," 2,245.28 ",1/5/2002,7/14/2023,35,1/23/2023,Transfer,"1,150.42","3,395.70",29,35,"43,437.85",Mortgage,535.00%,36,3/10/2022,Closed,35,AMEX,"8,046.16","2,208.16",110.41,7/30/2023,9/4/2023,2971,35,6/26/2023,Praise,Resolved,1/29/2023,1
36,Timothy,Rodriguez,42,Female,Address_36,Portland,19458794889,timothy.rodriguez@kag.com,Current," 8,808.55 ",7/8/2009,8/18/2023,36,8/12/2023,Withdrawal,"3,479.88","12,288.43",41,36,"33,338.35",Mortgage,198.00%,24,2/10/2021,Rejected,36,Visa,"5,522.52","2,735.81",136.79,5/31/2023,10/18/2023,6543,36,1/17/2023,Complaint,Pending,11/14/2023,1
37,Amanda,Campbell,33,Other,Address_37,Mesa,19458794890,amanda.campbell@kag.com,Current," 6,279.42 ",7/28/2008,4/6/2023,37,5/2/2023,Withdrawal,"1,259.84","5,019.58",2,37,"33,969.47",Mortgage,180.00%,36,7/25/2022,Rejected,37,MasterCard,"3,589.10","4,775.86",238.79,3/9/2023,3/13/2023,443,37,10/31/2023,Suggestion,Resolved,1/3/2023,1
38,Michael,Allen,34,Other,Address_38,El Paso,19458794891,michael.allen@kag.com,Current," 1,446.62 ",5/16/2002,8/6/2023,38,8/11/2023,Withdrawal,"1,069.87","2,516.49",6,38,"11,363.89",Personal,106.00%,24,4/8/2021,Rejected,38,AMEX,"9,908.09","1,725.59",86.28,7/30/2023,12/10/2023,440,38,2/26/2023,Praise,Resolved,6/3/2023,1
39,Paul,Allen,45,Other,Address_39,Albuquerque,19458794892,paul.allen@kag.com,Savings," 5,749.42 ",7/20/2008,1/4/2023,39,8/18/2023,Transfer,"1,263.27","4,486.15",59,39,"30,538.66",Auto,596.00%,24,10/25/2020,Rejected,39,AMEX,"3,179.12","3,347.70",167.38,2/20/2023,1/30/2023,9290,39,11/28/2023,Praise,Resolved,1/24/2023,1
40,John,Jackson,56,Other,Address_40,Jacksonville,19458794893,john.jackson@kag.com,Savings," 5,152.67 ",1/13/2020,1/5/2023,40,1/17/2023,Withdrawal,"2,346.81","2,805.86",65,40,"27,925.28",Mortgage,826.00%,12,12/16/2022,Rejected,40,MasterCard,"4,623.60",56.38,2.82,5/28/2023,3/21/2023,526,40,4/29/2023,Praise,Resolved,1/14/2023,1
41,Charles,Williams,60,Other,Address_41,Austin,19458794894,charles.williams@kag.com,Current," 4,767.41 ",8/13/2018,2/15/2023,41,10/12/2023,Transfer,739.94,"4,027.47",31,41,"17,373.20",Mortgage,871.00%,48,11/4/2021,Rejected,41,Visa,"7,976.79","2,183.50",109.18,2/24/2023,11/24/2023,1841,41,5/30/2023,Complaint,Pending,3/16/2023,1
42,David,Martinez,66,Other,Address_42,Kansas City,19458794895,david.martinez@kag.com,Current," 3,713.26 ",10/29/2015,11/27/2023,42,1/2/2023,Transfer,542,"3,171.26",91,42,"25,775.45",Personal,612.00%,36,10/13/2022,Closed,42,MasterCard,"5,660.53",202.41,10.12,1/23/2023,10/20/2023,6292,42,5/24/2023,Complaint,Pending,3/9/2023,1
43,Joshua,Flores,22,Other,Address_43,Philadelphia,19458794896,joshua.flores@kag.com,Current," 4,794.63 ",6/23/2006,5/6/2023,43,9/24/2023,Withdrawal,"3,786.14","1,008.49",46,43,"46,528.03",Personal,898.00%,36,2/20/2020,Approved,43,AMEX,"7,147.73","1,185.11",59.26,12/12/2023,3/20/2023,2095,43,5/26/2023,Praise,Resolved,11/19/2023,1
44,Karen,Campbell,18,Other,Address_44,Fresno,19458794897,karen.campbell@kag.com,Current," 5,901.51 ",3/21/2010,5/17/2023,44,1/16/2023,Transfer,126.28,"5,775.23",60,44,"1,259.98",Mortgage,876.00%,36,5/14/2020,Approved,44,MasterCard,"5,391.71","2,346.46",117.32,8/25/2023,1/9/2023,2285,44,11/14/2023,Complaint,Resolved,8/18/2023,1
45,Patricia,Adams,20,Other,Address_45,Mesa,19458794898,patricia.adams@kag.com,Savings," 7,362.34 ",5/3/2001,5/16/2023,45,12/3/2023,Withdrawal,"1,933.57","5,428.77",46,45,"21,439.08",Personal,728.00%,48,9/26/2022,Approved,45,AMEX,"6,494.58","2,906.73",145.34,5/22/2023,6/15/2023,7103,45,12/28/2023,Praise,Resolved,7/6/2023,1
46,Matthew,Smith,65,Other,Address_46,Atlanta,19458794899,matthew.smith@kag.com,Savings," 9,186.97 ",6/2/2005,11/10/2023,46,1/21/2023,Transfer,"1,986.21","7,200.76",19,46,"17,348.30",Mortgage,427.00%,24,5/9/2020,Closed,46,AMEX,"5,610.23","4,383.34",219.17,7/12/2023,6/6/2023,4173,46,4/12/2023,Praise,Pending,8/31/2023,1
47,Susan,Lewis,41,Other,Address_47,San Francisco,19458794900,susan.lewis@kag.com,Current, 539.40 ,12/11/2005,12/25/2023,47,9/8/2023,Transfer,"4,466.28","-3,926.88",1,47,"48,100.32",Mortgage,844.00%,36,11/5/2021,Closed,47,MasterCard,"9,925.21",924.02,46.2,1/19/2023,10/23/2023,722,47,8/21/2023,Suggestion,Resolved,1/1/2023,1
48,Stephanie,Roberts,46,Male,Address_48,Omaha,19458794901,stephanie.roberts@kag.com,Current," 5,736.51 ",6/20/2012,11/15/2023,48,10/4/2023,Withdrawal,"3,874.71","9,611.22",95,48,"48,720.82",Mortgage,453.00%,36,2/17/2020,Rejected,48,MasterCard,"2,867.41","1,543.14",77.16,1/27/2023,6/23/2023,5615,48,12/29/2023,Suggestion,Resolved,7/25/2023,1
49,David,King,32,Female,Address_49,Omaha,19458794902,david.king@kag.com,Current," 7,544.54 ",1/30/2021,7/8/2023,49,1/6/2023,Transfer,"2,558.28","10,102.82",18,49,"29,697.37",Personal,463.00%,48,4/5/2021,Approved,49,MasterCard,"9,023.88","2,786.09",139.3,6/4/2023,8/9/2023,2212,49,2/2/2023,Suggestion,Resolved,3/18/2023,1
50,Sandra,Gonzalez,21,Female,Address_50,Fort Worth,19458794903,sandra.gonzalez@kag.com,Current," 1,243.99 ",3/2/2022,5/23/2023,50,10/29/2023,Transfer,"2,404.27","3,648.26",7,50,"27,950.34",Auto,710.00%,60,12/26/2022,Closed,50,Visa,"5,180.67","1,063.32",53.17,2/11/2023,6/23/2023,2445,50,10/4/2023,Praise,Resolved,2/4/2023,1
51,Mary,Smith,61,Other,Address_51,Nashville,19458794904,mary.smith@kag.com,Current," 9,123.83 ",9/7/2021,3/14/2023,51,8/25/2023,Withdrawal,"2,832.35","6,291.48",32,51,"45,257.41",Mortgage,935.00%,48,3/21/2021,Rejected,51,AMEX,"1,226.63","4,537.60",226.88,3/29/2023,4/2/2023,61,51,9/30/2023,Suggestion,Resolved,12/11/2023,-1
52,Sarah,King,18,Other,Address_52,Omaha,19458794905,sarah.king@kag.com,Current," 2,525.40 ",10/25/2015,6/27/2023,52,1/23/2023,Deposit,"1,795.56","4,320.96",99,52,"1,320.58",Mortgage,550.00%,48,11/25/2021,Approved,52,AMEX,"9,801.79","4,369.68",218.48,11/29/2023,3/19/2023,2757,52,6/15/2023,Complaint,Pending,6/22/2023,1
53,Betty,Lewis,66,Male,Address_53,Denver,19458794906,betty.lewis@kag.com,Current," 8,349.99 ",6/3/2020,12/16/2023,53,11/10/2023,Withdrawal,"3,506.88","4,843.11",96,53,"28,551.75",Mortgage,259.00%,60,8/23/2020,Rejected,53,AMEX,"8,825.31","4,434.35",221.72,8/5/2023,3/9/2023,2042,53,4/14/2023,Praise,Pending,12/7/2023,1
54,Timothy,Mitchell,32,Other,Address_54,Chicago,19458794907,timothy.mitchell@kag.com,Savings," 6,653.87 ",5/28/2014,8/14/2023,54,7/4/2023,Deposit,"3,433.50","3,220.37",59,54,"2,206.99",Mortgage,228.00%,12,12/12/2020,Approved,54,MasterCard,"1,662.19","3,601.42",180.07,11/2/2023,6/16/2023,4735,54,11/17/2023,Praise,Resolved,2/6/2023,1
55,John,Campbell,41,Male,Address_55,Seattle,19458794908,john.campbell@kag.com,Savings," 5,639.51 ",1/24/2013,10/5/2023,55,8/12/2023,Transfer,"2,877.53","2,761.98",65,55,"48,439.95",Mortgage,372.00%,48,6/4/2020,Approved,55,AMEX,"4,451.64","4,981.24",249.06,8/14/2023,6/29/2023,8927,55,3/31/2023,Praise,Pending,10/10/2023,1
56,Amanda,Gonzalez,69,Female,Address_56,Denver,19458794909,amanda.gonzalez@kag.com,Savings," 8,705.50 ",5/17/2007,8/26/2023,56,2/8/2023,Deposit,297.89,"8,407.61",97,56,"16,687.82",Auto,512.00%,48,12/25/2022,Approved,56,MasterCard,"8,771.57","4,130.99",206.55,4/8/2023,6/11/2023,8261,56,3/3/2023,Praise,Resolved,10/4/2023,1
57,Linda,Mitchell,48,Female,Address_57,Philadelphia,19458794910,linda.mitchell@kag.com,Current," 9,695.42 ",11/30/2022,4/4/2023,57,1/31/2023,Withdrawal,642.92,"10,338.34",12,57,"26,519.26",Mortgage,368.00%,36,2/17/2020,Closed,57,MasterCard,"5,559.78","2,479.94",124,7/5/2023,1/17/2023,2928,57,11/12/2023,Suggestion,Pending,2/27/2023,1
58,Timothy,Carter,37,Other,Address_58,Indianapolis,19458794911,timothy.carter@kag.com,Savings," 9,971.60 ",2/16/2021,11/26/2023,58,1/2/2023,Transfer,205.99,"9,765.61",45,58,"21,460.86",Personal,741.00%,24,2/23/2021,Rejected,58,Visa,"9,315.29","3,693.78",184.69,11/28/2023,4/26/2023,5456,58,4/21/2023,Suggestion,Pending,12/4/2023,1
59,Andrew,Lewis,27,Male,Address_59,San Diego,19458794912,andrew.lewis@kag.com,Current," 6,864.48 ",9/5/2012,7/16/2023,59,12/8/2023,Deposit,"3,595.39","3,269.09",24,59,"44,787.58",Auto,588.00%,24,9/28/2022,Rejected,59,AMEX,"6,365.93",479.28,23.96,6/14/2023,7/24/2023,3616,59,3/4/2023,Praise,Resolved,5/5/2023,1
60,Susan,Hill,28,Male,Address_60,Seattle,19458794913,susan.hill@kag.com,Current," 3,457.40 ",8/22/2004,3/5/2023,60,6/14/2023,Withdrawal,"2,393.22","1,064.18",54,60,"49,991.08",Mortgage,466.00%,48,3/29/2021,Closed,60,Visa,"8,287.30","4,590.25",229.51,11/28/2023,7/9/2023,9195,60,4/8/2023,Praise,Resolved,12/16/2023,-1
61,Thomas,White,35,Female,Address_61,Colorado Springs,19458794914,thomas.white@kag.com,Current," 8,759.52 ",1/6/2009,5/30/2023,61,10/27/2023,Deposit,"4,775.36","13,534.88",4,61,"4,351.01",Auto,292.00%,24,10/7/2022,Approved,61,MasterCard,"5,051.49","4,920.85",246.04,5/30/2023,11/30/2023,4132,61,10/11/2023,Praise,Resolved,1/2/2023,1
62,Margaret,Sanchez,51,Female,Address_62,Fort Worth,19458794915,margaret.sanchez@kag.com,Savings," 6,578.05 ",6/25/2004,5/21/2023,62,5/7/2023,Withdrawal,"4,762.12","1,815.93",79,62,"36,869.53",Mortgage,645.00%,36,4/6/2021,Approved,62,AMEX,"1,834.47","4,285.04",214.25,6/23/2023,7/31/2023,8052,62,5/16/2023,Praise,Resolved,8/31/2023,1
63,Stephanie,Taylor,45,Male,Address_63,Jacksonville,19458794916,stephanie.taylor@kag.com,Savings," 3,300.96 ",12/15/2007,8/19/2023,63,11/15/2023,Transfer,"3,992.87",-691.91,96,63,"19,031.93",Auto,707.00%,48,2/24/2020,Approved,63,AMEX,"3,042.97",177.97,8.9,11/12/2023,10/6/2023,130,63,12/25/2023,Praise,Pending,8/15/2023,-1
64,Michelle,Miller,55,Male,Address_64,San Antonio,19458794917,michelle.miller@kag.com,Current," 9,330.41 ",11/9/2012,9/2/2023,64,3/16/2023,Withdrawal,"2,220.81","7,109.60",24,64,"7,814.57",Mortgage,806.00%,48,1/7/2021,Rejected,64,AMEX,"2,220.55",826.04,41.3,9/20/2023,3/9/2023,2892,64,7/21/2023,Suggestion,Pending,1/30/2023,1
65,Patricia,Gonzalez,33,Female,Address_65,New York,19458794918,patricia.gonzalez@kag.com,Savings," 7,501.74 ",7/17/2009,10/30/2023,65,11/5/2023,Deposit,"1,588.59","5,913.15",23,65,"20,866.44",Personal,992.00%,48,3/2/2020,Rejected,65,AMEX,"8,216.62",527.51,26.38,7/11/2023,11/8/2023,1801,65,7/30/2023,Praise,Pending,12/3/2023,1
66,Mary,Jones,41,Male,Address_66,Mesa,19458794919,mary.jones@kag.com,Savings," 4,583.00 ",2/11/2020,12/13/2023,66,3/17/2023,Transfer,"1,012.86","5,595.86",89,66,"49,909.18",Mortgage,308.00%,36,12/10/2021,Rejected,66,MasterCard,"9,313.17","2,128.26",106.41,8/11/2023,11/14/2023,6734,66,7/9/2023,Complaint,Resolved,2/21/2023,1
67,Jennifer,Sanchez,56,Female,Address_67,Nashville,19458794920,jennifer.sanchez@kag.com,Savings," 4,599.46 ",10/4/2016,10/4/2023,67,12/16/2023,Transfer,"1,170.15","5,769.61",49,67,"18,520.80",Auto,114.00%,24,10/23/2021,Approved,67,AMEX,"3,075.82",190.61,9.53,4/26/2023,9/30/2023,466,67,1/10/2023,Praise,Pending,4/25/2023,1
